NL,OCL,Tag,,,
" bc is the object c in the instance set of class BankCard. c represents an object of class BankCard, and c meets:
      The attribute CardID of the object c is equal to cardid","   bc:BankCard = BankCard.allInstance()->any(c:BankCard | c.CardID = cardid)
","Definition
","Generate OCL : bc is the object c in the instance set of class BankCard. c represents an object of class BankCard, and c meets:
      The attribute CardID of the object c is equal to cardid",,"Concode OCL : bc is the object c in the instance set of class BankCard. c represents an object of class BankCard, and c meets:
      The attribute CardID of the object c is equal to cardid"
" If (bc existed), take the following as postcondition(s):
      The value of temporary variable CardIDValidated became true
      The object InputCard became bc
      The return value was true
  Otherwise, take the following as postcondition(s):
      The value of temporary variable CardIDValidated became false
      The return value was false","   if
    (bc.oclIsUndefined() = false)
   then
    self.CardIDValidated = true and
    self.InputCard = bc and
    result = true
   else
    self.CardIDValidated = false and
    result = false
   endif
","Postcondition
","Generate OCL : If (bc existed), take the following as postcondition(s):
      The value of temporary variable CardIDValidated became true
      The object InputCard became bc
      The return value was true
  Otherwise, take the following as postcondition(s):
      The value of temporary variable CardIDValidated became false
      The return value was false","Concode OCL : If (bc existed), take the following as postcondition(s):
      The value of temporary variable CardIDValidated became true
      The object InputCard became bc
      The return value was true
  Otherwise, take the following as postcondition(s):
      The value of temporary variable CardIDValidated became false
      The return value was false","Concode OCL : If (bc existed), take the following as postcondition(s):
      The value of temporary variable CardIDValidated became true
      The object InputCard became bc
      The return value was true
  Otherwise, take the following as postcondition(s):
      The value of temporary variable CardIDValidated became false
      The return value was false"
" The value of temporary variable CardIDValidated is equal to true
  The object InputCard exists","   self.CardIDValidated = true and
   self.InputCard.oclIsUndefined() = false
","Precondition
","Generate OCL : The value of temporary variable CardIDValidated is equal to true
  The object InputCard exists","Concode OCL : The value of temporary variable CardIDValidated is equal to true
  The object InputCard exists","Concode OCL : The value of temporary variable CardIDValidated is equal to true
  The object InputCard exists"
" If the attribute Password of the object InputCard was equal to password, take the following as postcondition(s):
      The value of temporary variable PasswordValidated became true
      The return value was true
  Otherwise, take the following as postcondition(s):
      The value of temporary variable PasswordValidated became false
      The return value was false","   if
    self.InputCard.Password = password
   then
    self.PasswordValidated = true and
    return = true
   else
    self.PasswordValidated = false and
    return = false
   endif
","Postcondition
","Generate OCL : If the attribute Password of the object InputCard was equal to password, take the following as postcondition(s):
      The value of temporary variable PasswordValidated became true
      The return value was true
  Otherwise, take the following as postcondition(s):
      The value of temporary variable PasswordValidated became false
      The return value was false","Concode OCL : If the attribute Password of the object InputCard was equal to password, take the following as postcondition(s):
      The value of temporary variable PasswordValidated became true
      The return value was true
  Otherwise, take the following as postcondition(s):
      The value of temporary variable PasswordValidated became false
      The return value was false","Concode OCL : If the attribute Password of the object InputCard was equal to password, take the following as postcondition(s):
      The value of temporary variable PasswordValidated became true
      The return value was true
  Otherwise, take the following as postcondition(s):
      The value of temporary variable PasswordValidated became false
      The return value was false"
" The value of temporary variable CardIDValidated is equal to true
  The value of temporary variable PasswordValidated is equal to true
  The object InputCard exists","   self.CardIDValidated = true and
   self.PasswordValidated = true and
   self.InputCard.oclIsUndefined() = false
","Precondition
","Generate OCL : The value of temporary variable CardIDValidated is equal to true
  The value of temporary variable PasswordValidated is equal to true
  The object InputCard exists","Concode OCL : The value of temporary variable CardIDValidated is equal to true
  The value of temporary variable PasswordValidated is equal to true
  The object InputCard exists","Concode OCL : The value of temporary variable CardIDValidated is equal to true
  The value of temporary variable PasswordValidated is equal to true
  The object InputCard exists"
" If the value of temporary variable IsWithdraw was equal to true, take the following as postcondition(s):
      The return value was the value of temporary variable WithdrawedNumber
  Otherwise, take the following as postcondition(s):
      If the value of temporary variable IsDeposit was equal to true, take the following as postcondition(s):
          The return value was the value of temporary variable DepositedNumber
      Otherwise, take the following as postcondition(s):
          The return value was 0","   if
    self.IsWithdraw = true
   then
    result = self.WithdrawedNumber
   else
    if
     self.IsDeposit = true
    then
     result = self.DepositedNumber
    else
     result = 0
    endif
   endif
","Postcondition
","Generate OCL : If the value of temporary variable IsWithdraw was equal to true, take the following as postcondition(s):
      The return value was the value of temporary variable WithdrawedNumber
  Otherwise, take the following as postcondition(s):
      If the value of temporary variable IsDeposit was equal to true, take the following as postcondition(s):
          The return value was the value of temporary variable DepositedNumber
      Otherwise, take the following as postcondition(s):
          The return value was 0","Concode OCL : If the value of temporary variable IsWithdraw was equal to true, take the following as postcondition(s):
      The return value was the value of temporary variable WithdrawedNumber
  Otherwise, take the following as postcondition(s):
      If the value of temporary variable IsDeposit was equal to true, take the following as postcondition(s):
          The return value was the value of temporary variable DepositedNumber
      Otherwise, take the following as postcondition(s):
          The return value was 0","Concode OCL : If the value of temporary variable IsWithdraw was equal to true, take the following as postcondition(s):
      The return value was the value of temporary variable WithdrawedNumber
  Otherwise, take the following as postcondition(s):
      If the value of temporary variable IsDeposit was equal to true, take the following as postcondition(s):
          The return value was the value of temporary variable DepositedNumber
      Otherwise, take the following as postcondition(s):
          The return value was 0"
" The value of temporary variable PasswordValidated is equal to true
  The value of temporary variable CardIDValidated is equal to true
  The object InputCard exists","   self.PasswordValidated = true and
   self.CardIDValidated = true and
   self.InputCard.oclIsUndefined() = false
","Precondition
","Generate OCL : The value of temporary variable PasswordValidated is equal to true
  The value of temporary variable CardIDValidated is equal to true
  The object InputCard exists","Concode OCL : The value of temporary variable PasswordValidated is equal to true
  The value of temporary variable CardIDValidated is equal to true
  The object InputCard exists","Concode OCL : The value of temporary variable PasswordValidated is equal to true
  The value of temporary variable CardIDValidated is equal to true
  The object InputCard exists"
 The return value was the attribute Balance of the object InputCard,"   result = self.InputCard.Balance
","Postcondition
",Generate OCL : The return value was the attribute Balance of the object InputCard,Concode OCL : The return value was the attribute Balance of the object InputCard,Concode OCL : The return value was the attribute Balance of the object InputCard
" The value of temporary variable PasswordValidated is equal to true
  The value of temporary variable CardIDValidated is equal to true
  The object InputCard exists","   self.PasswordValidated = true and
   self.CardIDValidated = true and
   self.InputCard.oclIsUndefined() = false
","Precondition
","Generate OCL : The value of temporary variable PasswordValidated is equal to true
  The value of temporary variable CardIDValidated is equal to true
  The object InputCard exists","Concode OCL : The value of temporary variable PasswordValidated is equal to true
  The value of temporary variable CardIDValidated is equal to true
  The object InputCard exists","Concode OCL : The value of temporary variable PasswordValidated is equal to true
  The value of temporary variable CardIDValidated is equal to true
  The object InputCard exists"
" The object InputCard became null
  The value of temporary variable PasswordValidated became false
  The value of temporary variable CardIDValidated became false
  The value of temporary variable IsWithdraw became false
  The value of temporary variable IsDeposit became false
  The value of temporary variable WithdrawedNumber became 0
  The value of temporary variable DepositedNumber became 0
  The return value was true","   self.InputCard = null and
   self.PasswordValidated = false and
   self.CardIDValidated = false and
   self.IsWithdraw = false and
   self.IsDeposit = false and
   self.WithdrawedNumber = 0 and
   self.DepositedNumber = 0 and
   result = true
","Postcondition
","Generate OCL : The object InputCard became null
  The value of temporary variable PasswordValidated became false
  The value of temporary variable CardIDValidated became false
  The value of temporary variable IsWithdraw became false
  The value of temporary variable IsDeposit became false
  The value of temporary variable WithdrawedNumber became 0
  The value of temporary variable DepositedNumber became 0
  The return value was true","Concode OCL : The object InputCard became null
  The value of temporary variable PasswordValidated became false
  The value of temporary variable CardIDValidated became false
  The value of temporary variable IsWithdraw became false
  The value of temporary variable IsDeposit became false
  The value of temporary variable WithdrawedNumber became 0
  The value of temporary variable DepositedNumber became 0
  The return value was true","Concode OCL : The object InputCard became null
  The value of temporary variable PasswordValidated became false
  The value of temporary variable CardIDValidated became false
  The value of temporary variable IsWithdraw became false
  The value of temporary variable IsDeposit became false
  The value of temporary variable WithdrawedNumber became 0
  The value of temporary variable DepositedNumber became 0
  The return value was true"
" The value of temporary variable PasswordValidated is equal to true
  The value of temporary variable CardIDValidated is equal to true
  The object InputCard exists
  The attribute Balance of the object InputCard is greater than or equal to quantity","   self.PasswordValidated = true and
   self.CardIDValidated = true and
   self.InputCard.oclIsUndefined() = false and
   self.InputCard.Balance >= quantity
","Precondition
","Generate OCL : The value of temporary variable PasswordValidated is equal to true
  The value of temporary variable CardIDValidated is equal to true
  The object InputCard exists
  The attribute Balance of the object InputCard is greater than or equal to quantity","Concode OCL : The value of temporary variable PasswordValidated is equal to true
  The value of temporary variable CardIDValidated is equal to true
  The object InputCard exists
  The attribute Balance of the object InputCard is greater than or equal to quantity","Concode OCL : The value of temporary variable PasswordValidated is equal to true
  The value of temporary variable CardIDValidated is equal to true
  The object InputCard exists
  The attribute Balance of the object InputCard is greater than or equal to quantity"
" The attribute Balance of the object InputCard became the previous value of the attribute Balance of the object InputCard minus quantity
  The value of temporary variable WithdrawedNumber became quantity
  The value of temporary variable IsWithdraw became true
  The return value was true","   self.InputCard.Balance = self.InputCard.Balance@pre - quantity and
   self.WithdrawedNumber = quantity and
   self.IsWithdraw = true and
   result = true
","Postcondition
","Generate OCL : The attribute Balance of the object InputCard became the previous value of the attribute Balance of the object InputCard minus quantity
  The value of temporary variable WithdrawedNumber became quantity
  The value of temporary variable IsWithdraw became true
  The return value was true","Concode OCL : The attribute Balance of the object InputCard became the previous value of the attribute Balance of the object InputCard minus quantity
  The value of temporary variable WithdrawedNumber became quantity
  The value of temporary variable IsWithdraw became true
  The return value was true","Concode OCL : The attribute Balance of the object InputCard became the previous value of the attribute Balance of the object InputCard minus quantity
  The value of temporary variable WithdrawedNumber became quantity
  The value of temporary variable IsWithdraw became true
  The return value was true"
" The value of temporary variable PasswordValidated is equal to true
  The value of temporary variable CardIDValidated is equal to true
  The object InputCard exists
  The quantity is greater than or equal to 100","   self.PasswordValidated = true and
   self.CardIDValidated = true and
   self.InputCard.oclIsUndefined() = false and
   quantity >= 100
","Precondition
","Generate OCL : The value of temporary variable PasswordValidated is equal to true
  The value of temporary variable CardIDValidated is equal to true
  The object InputCard exists
  The quantity is greater than or equal to 100","Concode OCL : The value of temporary variable PasswordValidated is equal to true
  The value of temporary variable CardIDValidated is equal to true
  The object InputCard exists
  The quantity is greater than or equal to 100","Concode OCL : The value of temporary variable PasswordValidated is equal to true
  The value of temporary variable CardIDValidated is equal to true
  The object InputCard exists
  The quantity is greater than or equal to 100"
" The attribute Balance of the object InputCard became the previous value of the attribute Balance of the object InputCard plus quantity
  The value of temporary variable IsDeposit became true
  The value of temporary variable DepositedNumber became quantity
  The return value was true","   self.InputCard.Balance = self.InputCard.Balance@pre + quantity and
   self.IsDeposit = true and
   self.DepositedNumber = quantity and
   result = true
","Postcondition
","Generate OCL : The attribute Balance of the object InputCard became the previous value of the attribute Balance of the object InputCard plus quantity
  The value of temporary variable IsDeposit became true
  The value of temporary variable DepositedNumber became quantity
  The return value was true","Concode OCL : The attribute Balance of the object InputCard became the previous value of the attribute Balance of the object InputCard plus quantity
  The value of temporary variable IsDeposit became true
  The value of temporary variable DepositedNumber became quantity
  The return value was true","Concode OCL : The attribute Balance of the object InputCard became the previous value of the attribute Balance of the object InputCard plus quantity
  The value of temporary variable IsDeposit became true
  The value of temporary variable DepositedNumber became quantity
  The return value was true"
" bankcard is the object ban in the instance set of class BankCard. ban represents an object of class BankCard, and ban meets:
      The attribute CardID of the object ban is equal to cardid","   bankcard:BankCard = BankCard.allInstance()->any(ban:BankCard | ban.CardID = cardid)
","Definition
","Generate OCL : bankcard is the object ban in the instance set of class BankCard. ban represents an object of class BankCard, and ban meets:
      The attribute CardID of the object ban is equal to cardid","Concode OCL : bankcard is the object ban in the instance set of class BankCard. ban represents an object of class BankCard, and ban meets:
      The attribute CardID of the object ban is equal to cardid","Concode OCL : bankcard is the object ban in the instance set of class BankCard. ban represents an object of class BankCard, and ban meets:
      The attribute CardID of the object ban is equal to cardid"
 bankcard doesn't exist,"   bankcard.oclIsUndefined() = true
","Precondition
",Generate OCL : bankcard doesn't exist,Concode OCL : bankcard doesn't exist,Concode OCL : bankcard doesn't exist
" ban represented the object of class BankCard
  The object ban was created
  The attribute CardID of the object ban became cardid
  The attribute CardStatus of the object ban became cardstatus
  The attribute Catalog of the object ban became catalog
  The attribute Password of the object ban became password
  The attribute Balance of the object ban became balance
  The object ban was put into the instance set of class BankCard
  The return value was true","   let ban:BankCard in
   ban.oclIsNew() and
   ban.CardID = cardid and
   ban.CardStatus = cardstatus and
   ban.Catalog = catalog and
   ban.Password = password and
   ban.Balance = balance and
   BankCard.allInstance()->includes(ban) and
   result = true
","Postcondition
","Generate OCL : ban represented the object of class BankCard
  The object ban was created
  The attribute CardID of the object ban became cardid
  The attribute CardStatus of the object ban became cardstatus
  The attribute Catalog of the object ban became catalog
  The attribute Password of the object ban became password
  The attribute Balance of the object ban became balance
  The object ban was put into the instance set of class BankCard
  The return value was true","Concode OCL : ban represented the object of class BankCard
  The object ban was created
  The attribute CardID of the object ban became cardid
  The attribute CardStatus of the object ban became cardstatus
  The attribute Catalog of the object ban became catalog
  The attribute Password of the object ban became password
  The attribute Balance of the object ban became balance
  The object ban was put into the instance set of class BankCard
  The return value was true","Concode OCL : ban represented the object of class BankCard
  The object ban was created
  The attribute CardID of the object ban became cardid
  The attribute CardStatus of the object ban became cardstatus
  The attribute Catalog of the object ban became catalog
  The attribute Password of the object ban became password
  The attribute Balance of the object ban became balance
  The object ban was put into the instance set of class BankCard
  The return value was true"
" bankcard is the object ban in the instance set of class BankCard. ban represents an object of class BankCard, and ban meets:
      The attribute CardID of the object ban is equal to cardid","   bankcard:BankCard = BankCard.allInstance()->any(ban:BankCard | ban.CardID = cardid)
","Definition
","Generate OCL : bankcard is the object ban in the instance set of class BankCard. ban represents an object of class BankCard, and ban meets:
      The attribute CardID of the object ban is equal to cardid","Concode OCL : bankcard is the object ban in the instance set of class BankCard. ban represents an object of class BankCard, and ban meets:
      The attribute CardID of the object ban is equal to cardid","Concode OCL : bankcard is the object ban in the instance set of class BankCard. ban represents an object of class BankCard, and ban meets:
      The attribute CardID of the object ban is equal to cardid"
 bankcard exists,"   bankcard.oclIsUndefined() = false
","Precondition
",Generate OCL : bankcard exists,Concode OCL : bankcard exists,Concode OCL : bankcard exists
 The return value was bankcard,"   result = bankcard
","Postcondition
",Generate OCL : The return value was bankcard,Concode OCL : The return value was bankcard,Concode OCL : The return value was bankcard
" bankcard is the object ban in the instance set of class BankCard. ban represents an object of class BankCard, and ban meets:
      The attribute CardID of the object ban is equal to cardid","   bankcard:BankCard = BankCard.allInstance()->any(ban:BankCard | ban.CardID = cardid)
","Definition
","Generate OCL : bankcard is the object ban in the instance set of class BankCard. ban represents an object of class BankCard, and ban meets:
      The attribute CardID of the object ban is equal to cardid","Concode OCL : bankcard is the object ban in the instance set of class BankCard. ban represents an object of class BankCard, and ban meets:
      The attribute CardID of the object ban is equal to cardid","Concode OCL : bankcard is the object ban in the instance set of class BankCard. ban represents an object of class BankCard, and ban meets:
      The attribute CardID of the object ban is equal to cardid"
 bankcard exists,"   bankcard.oclIsUndefined() = false
","Precondition
",Generate OCL : bankcard exists,Concode OCL : bankcard exists,Concode OCL : bankcard exists
