NL,OCL,"2~458出自UML文档，459~473出自SysML文档,474~485出自pssm,486~509出自出自博士论文：Using patterns to develop consistent design constraints, Wahler, Michael S.，510~511出自pssm,512~552出自fuml,553~623出自网站https://wiki.xmldation.com/User_Guides/Studio/5%3A_OCL_Rules"
A Constraint cannot be applied to itself.,not constrainedElement->includes(self),
Elements that must be owned must have an owner.,mustBeOwned() implies owner->notEmpty(),
An element may not directly or indirectly own itself.,not allOwnedElements()->includes(self),
An importedElement has either public visibility or no visibility at all.,importedElement.visibility <> null implies importedElement.visibility =VisibilityKind::public,
The visibility of an ElementImport is either public or private.,visibility = VisibilityKind::public or visibility = VisibilityKind::private,
The upper bound must be greater than or equal to the lower bound.,upperBound() >= lowerBound(),
The lower bound must be a non-negative integer literal.,lowerBound() >= 0,
"If it is not empty, then lowerValue must have an Integer value.",lowerValue <> null implies lowerValue.integerValue() <> null,
"If it is not empty, then upperValue must have an UnlimitedNatural value.",upperValue <> null implies upperValue.unlimitedValue() <> null,
"If a NamedElement is owned by something other than a Namespace, it does not have a visibility. One that is not owned by anything (and hence must be a Package, as this is the only kind of NamedElement that overrides mustBeOwned()) may have a visibility.",(namespace = null and owner <> null) implies visibility = null,
"When there is a name, and all of the containing Namespaces have a name, the qualifiedName is constructed from the name of the NamedElement and the names of the containing Namespaces.",(name <> null and allNamespaces()->select(ns | ns.name = null)->isEmpty()) implies qualifiedName = allNamespaces()->iterate( ns : Namespace; agg: String = name | ns.name.concat(self.separator()).concat(agg)),
"If there is no name, or one of the containing Namespaces has no name, there is no qualifiedName.",name=null or allNamespaces()->select( ns | ns.name=null )->notEmpty() implies qualifiedName = null,
All the members of a Namespace are distinguishable within it.,membersAreDistinguishable(),
A Namespace cannot have a PackageImport to itself.,packageImport.importedPackage.oclAsType(Namespace)->excludes(self),
A Namespace cannot have an ElementImport to one of its ownedMembers.,elementImport.importedElement.oclAsType(Element)->excludesAll(ownedMember),
The visibility of a PackageImport is either public or private.,visibility = VisibilityKind::public or visibility = VisibilityKind::private,
